c generated randomly
c 8x8 board with 9 colors
p tile 8 8
0 1 1 0
0 1 6 1
0 3 1 1
0 3 7 3
0 2 4 3
0 3 4 2
0 2 9 3
0 0 2 2
1 2 3 0
6 3 1 2
1 9 1 3
7 6 1 9
4 8 9 6
4 2 9 8
9 2 9 2
2 0 3 2
3 3 3 0
1 6 9 3
1 6 9 6
1 1 7 6
9 3 3 1
9 3 7 3
9 1 4 3
3 0 2 1
3 1 2 0
9 2 9 1
9 9 6 2
7 2 9 9
3 3 1 2
7 3 5 3
4 3 4 3
2 0 3 3
2 1 1 0
9 5 3 1
6 7 4 5
9 9 4 7
1 2 6 9
5 5 1 2
4 3 4 5
3 0 2 3
1 2 1 0
3 4 7 2
4 5 8 4
4 4 1 5
6 6 8 4
1 5 2 6
4 3 5 5
2 0 1 3
1 3 3 0
7 7 6 3
8 2 6 7
1 3 6 2
8 8 4 3
2 7 9 8
5 3 1 7
1 0 3 3
3 3 0 0
6 2 0 3
6 2 0 2
6 3 0 2
4 3 0 3
9 2 0 3
1 2 0 2
3 0 0 2

