c generated randomly
c 8x8 board with 9 colors
p tile 8 8
0 2 1 0
0 3 5 2
0 2 9 3
0 3 6 2
0 3 7 3
0 2 3 3
0 3 2 2
0 0 1 3
1 3 3 0
5 5 7 3
9 7 6 5
6 5 6 7
7 2 9 5
3 1 9 2
2 1 2 1
1 0 2 1
3 1 2 0
7 5 3 1
6 2 3 5
6 6 6 2
9 1 5 6
9 2 5 1
2 3 5 2
2 0 3 3
2 2 2 0
3 8 6 2
3 5 6 8
6 7 8 5
5 3 3 7
5 8 5 3
5 1 7 8
3 0 3 1
2 3 1 0
6 4 2 3
6 9 5 4
8 2 4 9
3 4 8 2
5 6 1 4
7 1 2 6
3 0 1 1
1 1 2 0
2 7 4 1
5 2 5 7
4 6 3 2
8 7 6 6
1 1 1 7
2 2 5 1
1 0 1 2
2 1 3 0
4 7 7 1
5 7 8 7
3 3 6 7
6 2 4 3
1 8 2 2
5 3 9 8
1 0 1 3
3 3 0 0
7 2 0 3
8 1 0 2
6 1 0 1
4 2 0 1
2 3 0 2
9 1 0 3
1 0 0 1

