c generated randomly
c 8x8 board with 9 colors
p tile 8 8
0 3 1 0
0 2 1 3
0 3 1 2
0 2 3 3
0 1 7 2
0 1 2 1
0 3 8 1
0 0 3 3
1 3 3 0
1 4 9 3
1 7 5 4
3 8 4 7
7 8 6 8
2 6 7 8
8 1 4 6
3 0 1 1
3 3 3 0
9 1 8 3
5 6 7 1
4 9 6 6
6 1 9 9
7 5 8 1
4 3 5 5
1 0 3 3
3 2 1 0
8 9 8 2
7 2 7 9
6 8 9 2
9 7 8 8
8 7 1 7
5 2 9 7
3 0 3 2
1 1 2 0
8 9 8 1
7 4 4 9
9 9 7 4
8 8 4 9
1 9 4 8
9 2 2 9
3 0 2 2
2 1 1 0
8 7 4 1
4 8 4 7
7 9 4 8
4 7 9 9
4 1 5 7
2 2 4 1
2 0 1 2
1 3 2 0
4 5 6 3
4 8 8 5
4 3 2 8
9 1 1 3
5 7 6 1
4 3 9 7
1 0 1 3
2 3 0 0
6 1 0 3
8 2 0 1
2 1 0 2
1 1 0 1
6 1 0 1
9 2 0 1
1 0 0 2

