c generated randomly
c 8x8 board with 9 colors
p tile 8 8
0 1 1 0
0 3 4 1
0 2 3 3
0 2 9 2
0 2 5 2
0 2 6 2
0 3 9 2
0 0 1 3
1 3 2 0
4 1 5 3
3 2 4 1
9 6 8 2
5 2 2 6
6 1 2 2
9 1 6 1
1 0 1 1
2 1 2 0
5 1 7 1
4 9 3 1
8 2 7 9
2 5 2 2
2 2 7 5
6 3 4 2
1 0 1 3
2 2 2 0
7 4 7 2
3 1 9 4
7 1 7 1
2 3 8 1
7 6 9 3
4 3 3 6
1 0 2 3
2 3 2 0
7 2 1 3
9 3 8 2
7 9 1 3
8 9 6 9
9 4 8 9
3 3 1 4
2 0 3 3
2 1 3 0
1 4 7 1
8 2 5 4
1 1 4 2
6 3 8 1
8 3 6 3
1 2 9 3
3 0 1 2
3 3 3 0
7 7 1 3
5 8 9 7
4 4 7 8
8 8 8 4
6 6 9 8
9 3 1 6
1 0 3 3
3 1 0 0
1 3 0 1
9 1 0 3
7 3 0 1
8 2 0 3
9 3 0 2
1 3 0 3
3 0 0 3

