c generated randomly
c 8x8 board with 9 colors
p tile 8 8
0 2 2 0
0 2 3 2
0 2 6 2
0 3 4 2
0 2 5 3
0 3 7 2
0 2 4 3
0 0 1 2
2 1 2 0
3 4 9 1
6 5 3 4
4 9 1 5
5 8 3 9
7 7 9 8
4 2 7 7
1 0 1 2
2 3 1 0
9 8 3 3
3 8 4 8
1 7 2 8
3 1 2 7
9 4 8 1
7 1 5 4
1 0 1 1
1 2 3 0
3 5 4 2
4 1 9 5
2 6 2 1
2 9 1 6
8 9 1 9
5 3 8 9
1 0 1 3
3 1 1 0
4 4 6 1
9 6 6 4
2 4 8 6
1 7 1 4
1 7 2 7
8 1 7 7
1 0 2 1
1 1 2 0
6 1 2 1
6 3 6 1
8 8 5 3
1 8 6 8
2 4 8 8
7 2 3 4
2 0 1 2
2 2 3 0
2 2 5 2
6 2 3 2
5 9 7 2
6 2 6 9
8 6 2 2
3 2 3 6
1 0 2 2
3 3 0 0
5 3 0 3
3 1 0 3
7 2 0 1
6 3 0 2
2 3 0 3
3 3 0 3
2 0 0 3

