c generated randomly
c 8x8 board with 9 colors
p tile 8 8
0 2 2 0
0 2 9 2
0 2 6 2
0 2 4 2
0 1 1 2
0 2 7 1
0 3 4 2
0 0 1 3
2 2 3 0
9 6 7 2
6 3 2 6
4 4 8 3
1 8 4 4
7 3 8 8
4 3 2 3
1 0 3 3
3 1 2 0
7 1 5 1
2 5 3 1
8 4 9 5
4 1 9 4
8 3 4 1
2 1 3 3
3 0 1 1
2 2 1 0
5 8 6 2
3 7 7 8
9 1 9 7
9 5 3 1
4 8 1 5
3 1 1 8
1 0 3 1
1 3 2 0
6 8 7 3
7 2 7 8
9 7 5 2
3 2 8 7
1 8 3 2
1 2 6 8
3 0 1 2
2 1 3 0
7 4 5 1
7 2 9 4
5 5 3 2
8 2 2 5
3 8 8 2
6 3 1 8
1 0 1 3
3 2 1 0
5 3 8 2
9 9 5 3
3 3 5 9
2 8 8 3
8 8 5 8
1 1 9 8
1 0 1 1
1 1 0 0
8 3 0 1
5 3 0 3
5 2 0 3
8 1 0 2
5 3 0 1
9 2 0 3
1 0 0 2

