c generated randomly
c 8x8 board with 9 colors
p tile 8 8
0 1 3 0
0 3 9 1
0 1 9 3
0 3 7 1
0 3 1 3
0 3 7 3
0 1 7 3
0 0 3 1
3 1 1 0
9 4 4 1
9 8 5 4
7 1 4 8
1 5 9 1
7 5 4 5
7 2 9 5
3 0 2 2
1 3 3 0
4 7 8 3
5 5 4 7
4 3 7 5
9 6 5 3
4 6 3 6
9 2 4 6
2 0 2 2
3 1 2 0
8 1 9 1
4 4 8 1
7 6 5 4
5 1 7 6
3 3 6 1
4 2 8 3
2 0 1 2
2 3 1 0
9 5 7 3
8 1 2 5
5 3 7 1
7 1 2 3
6 9 9 1
8 2 7 9
1 0 2 2
1 2 3 0
7 2 9 2
2 8 7 2
7 5 5 8
2 2 3 5
9 3 9 2
7 3 4 3
2 0 2 3
3 3 3 0
9 8 2 3
7 8 8 8
5 2 4 8
3 1 4 2
9 4 5 1
4 2 5 4
2 0 3 2
3 3 0 0
2 3 0 3
8 2 0 3
4 3 0 2
4 1 0 3
5 3 0 1
5 2 0 3
3 0 0 2

