c generated randomly
c 8x8 board with 9 colors
p tile 8 8
0 2 3 0
0 2 9 2
0 1 6 2
0 3 5 1
0 1 7 3
0 3 7 1
0 3 3 3
0 0 1 3
3 2 1 0
9 5 7 2
6 1 1 5
5 4 8 1
7 8 6 4
7 4 7 8
3 2 2 4
1 0 1 2
1 3 3 0
7 1 8 3
1 6 5 1
8 7 4 6
6 1 9 7
7 3 6 1
2 1 6 3
1 0 2 1
3 1 2 0
8 5 8 1
5 1 6 5
4 4 2 1
9 4 1 4
6 6 8 4
6 3 7 6
2 0 2 3
2 3 3 0
8 5 5 3
6 8 2 5
2 1 8 8
1 8 2 1
8 3 1 8
7 3 4 3
2 0 3 3
3 3 1 0
5 6 9 3
2 1 9 6
8 6 1 1
2 2 4 6
1 6 1 2
4 1 5 6
3 0 2 1
1 3 1 0
9 1 8 3
9 8 4 1
1 7 8 8
4 2 9 7
1 4 2 2
5 2 4 4
2 0 3 2
1 1 0 0
8 1 0 1
4 3 0 1
8 3 0 3
9 3 0 3
2 3 0 3
4 3 0 3
3 0 0 3

