c generated randomly
c 8x8 board with 9 colors
p tile 8 8
0 1 2 0
0 1 6 1
0 1 9 1
0 1 4 1
0 2 8 1
0 3 9 2
0 3 5 3
0 0 1 3
2 1 3 0
6 2 4 1
9 8 2 2
4 7 7 8
8 7 4 7
9 5 5 7
5 3 5 5
1 0 2 3
3 2 2 0
4 8 5 2
2 9 1 8
7 5 9 9
4 6 6 5
5 8 5 6
5 1 8 8
2 0 1 1
2 2 2 0
5 5 1 2
1 3 2 5
9 9 3 3
6 9 7 9
5 6 2 9
8 3 8 6
1 0 1 3
2 1 2 0
1 8 7 1
2 6 8 8
3 9 7 6
7 1 1 9
2 7 5 1
8 2 9 7
1 0 1 2
2 2 1 0
7 6 9 2
8 9 2 6
7 7 9 9
1 3 7 7
5 4 8 3
9 1 2 4
1 0 2 1
1 2 2 0
9 7 7 2
2 4 8 7
9 6 2 4
7 8 3 6
8 9 6 8
2 3 7 9
2 0 1 3
2 1 0 0
7 3 0 1
8 2 0 3
2 3 0 2
3 1 0 3
6 2 0 1
7 3 0 2
1 0 0 3

