c generated randomly
c 8x8 board with 9 colors
p tile 8 8
0 2 1 0
0 1 7 2
0 1 5 1
0 2 1 1
0 2 3 2
0 1 1 2
0 2 9 1
0 0 3 2
1 2 2 0
7 5 2 2
5 2 1 5
1 4 8 2
3 6 4 4
1 4 4 6
9 3 3 4
3 0 3 3
2 1 3 0
2 9 4 1
1 7 4 9
8 4 6 7
4 1 1 4
4 5 7 1
3 2 6 5
3 0 1 2
3 2 1 0
4 1 8 2
4 8 6 1
6 1 6 8
1 4 6 1
7 9 3 4
6 3 9 9
1 0 2 3
1 1 3 0
8 9 8 1
6 8 4 9
6 6 1 8
6 5 2 6
3 6 1 5
9 1 8 6
2 0 3 1
3 1 1 0
8 6 3 1
4 4 6 6
1 8 4 4
2 5 2 8
1 9 4 5
8 3 4 9
3 0 1 3
1 1 1 0
3 9 4 1
6 3 7 9
4 4 5 3
2 5 6 4
4 3 9 5
4 3 3 3
1 0 3 3
1 3 0 0
4 2 0 3
7 3 0 2
5 1 0 3
6 1 0 1
9 1 0 1
3 2 0 1
3 0 0 2

