c generated randomly
c 8x8 board with 9 colors
p tile 8 8
0 3 1 0
0 1 4 3
0 1 7 1
0 1 3 1
0 3 7 1
0 2 6 3
0 1 7 2
0 0 1 1
1 3 2 0
4 7 3 3
7 4 6 7
3 7 5 4
7 3 6 7
6 8 9 3
7 1 5 8
1 0 2 1
2 2 2 0
3 7 9 2
6 1 8 7
5 8 5 1
6 8 8 8
9 2 9 8
5 3 1 2
2 0 3 3
2 1 3 0
9 2 5 1
8 9 8 2
5 1 2 9
8 3 2 1
9 6 9 3
1 1 1 6
3 0 3 1
3 3 3 0
5 7 2 3
8 3 8 7
2 8 1 3
2 7 8 8
9 1 2 7
1 1 3 1
3 0 1 1
3 2 3 0
2 6 6 2
8 8 5 6
1 1 6 8
8 5 2 1
2 5 5 5
3 1 5 5
1 0 1 1
3 2 1 0
6 4 2 2
5 6 3 4
6 6 6 6
2 8 8 6
5 2 7 8
5 1 6 2
1 0 3 1
1 3 0 0
2 2 0 3
3 1 0 2
6 3 0 1
8 3 0 3
7 3 0 3
6 3 0 3
3 0 0 3

