c generated randomly
c 8x8 board with 9 colors
p tile 8 8
0 1 1 0
0 2 9 1
0 2 5 2
0 3 8 2
0 1 2 3
0 2 6 1
0 1 6 2
0 0 2 1
1 3 2 0
9 2 3 3
5 4 5 2
8 1 8 4
2 6 2 1
6 6 4 6
6 1 7 6
2 0 1 1
2 1 3 0
3 9 6 1
5 8 2 9
8 9 7 8
2 5 2 9
4 1 2 5
7 1 3 1
1 0 2 1
3 3 1 0
6 6 4 3
2 6 7 6
7 6 7 6
2 1 4 6
2 9 9 1
3 2 4 9
2 0 1 2
1 1 3 0
4 8 8 1
7 1 1 8
7 4 3 1
4 9 2 4
9 5 4 9
4 2 3 5
1 0 2 2
3 2 2 0
8 9 2 2
1 2 5 9
3 3 5 2
2 7 9 3
4 6 4 7
3 1 3 6
2 0 2 1
2 3 1 0
2 1 2 3
5 6 3 1
5 9 4 6
9 2 1 9
4 5 6 2
3 3 9 5
2 0 2 3
1 3 0 0
2 3 0 3
3 3 0 3
4 3 0 3
1 3 0 3
6 3 0 3
9 2 0 3
2 0 0 2

