c generated randomly
c 8x8 board with 9 colors
p tile 8 8
0 2 1 0
0 1 2 2
0 1 6 1
0 1 5 1
0 3 3 1
0 1 7 3
0 3 9 1
0 0 1 3
1 1 2 0
2 1 1 1
6 9 8 1
5 9 9 9
3 1 5 9
7 2 6 1
9 1 6 2
1 0 1 1
2 2 3 0
1 6 5 2
8 8 5 6
9 7 8 8
5 9 7 7
6 6 9 9
6 2 4 6
1 0 3 2
3 3 3 0
5 8 3 3
5 9 4 8
8 5 9 9
7 2 3 5
9 8 2 2
4 2 8 8
3 0 1 2
3 1 2 0
3 5 2 1
4 7 7 5
9 9 5 7
3 4 6 9
2 1 3 4
8 3 6 1
1 0 1 3
2 3 3 0
2 1 4 3
7 5 5 1
5 6 6 5
6 2 1 6
3 2 7 2
6 2 8 2
1 0 2 2
3 1 1 0
4 7 2 1
5 4 9 7
6 1 6 4
1 5 6 1
7 7 4 5
8 1 1 7
2 0 2 1
1 1 0 0
2 1 0 1
9 1 0 1
6 2 0 1
6 2 0 2
4 3 0 2
1 3 0 3
2 0 0 3

