c generated randomly
c 8x8 board with 9 colors
p tile 8 8
0 3 1 0
0 1 7 3
0 1 1 1
0 2 9 1
0 2 5 2
0 1 4 2
0 2 2 1
0 0 3 2
1 3 3 0
7 5 5 3
1 1 7 5
9 4 5 1
5 4 5 4
4 9 7 4
2 3 3 9
3 0 2 3
3 3 2 0
5 9 5 3
7 6 6 9
5 7 8 6
5 1 5 7
7 1 3 1
3 2 2 1
2 0 1 2
2 3 2 0
5 2 2 3
6 8 1 2
8 1 1 8
5 8 5 1
3 7 4 8
2 3 4 7
1 0 2 3
2 1 1 0
2 4 5 1
1 2 5 4
1 4 5 2
5 3 8 4
4 5 3 3
4 2 9 5
2 0 2 2
1 3 1 0
5 2 9 3
5 7 5 2
5 7 2 7
8 7 1 7
3 2 1 7
9 3 8 2
2 0 1 3
1 2 1 0
9 6 7 2
5 4 7 6
2 9 8 4
1 4 1 9
1 1 8 4
8 3 5 1
1 0 3 3
1 2 0 0
7 2 0 2
7 1 0 2
8 3 0 1
1 1 0 3
8 1 0 1
5 1 0 1
3 0 0 1

