c generated randomly
c 8x8 board with 9 colors
p tile 8 8
0 1 2 0
0 1 2 1
0 3 5 1
0 1 1 3
0 3 7 1
0 2 7 3
0 3 1 2
0 0 1 3
2 3 3 0
2 7 1 3
5 9 2 7
1 6 5 9
7 1 3 6
7 1 5 1
1 1 1 1
1 0 3 1
3 3 2 0
1 1 4 3
2 3 1 1
5 7 3 3
3 1 3 7
5 6 4 1
1 3 9 6
3 0 3 3
2 3 2 0
4 3 2 3
1 7 5 3
3 2 1 7
3 2 1 2
4 7 3 2
9 1 7 7
3 0 3 1
2 1 3 0
2 5 7 1
5 3 8 5
1 8 6 3
1 6 8 8
3 2 5 6
7 3 6 2
3 0 1 3
3 2 2 0
7 2 9 2
8 3 6 2
6 1 8 3
8 5 2 1
5 1 2 5
6 1 1 1
1 0 1 1
2 1 2 0
9 6 2 1
6 6 2 6
8 3 6 6
2 8 6 3
2 7 9 8
1 3 1 7
1 0 1 3
2 2 0 0
2 2 0 2
2 1 0 2
6 2 0 1
6 1 0 2
9 2 0 1
1 1 0 2
1 0 0 1

