c generated randomly
c 8x8 board with 9 colors
p tile 8 8
0 2 3 0
0 1 1 2
0 1 9 1
0 2 9 1
0 3 9 2
0 2 6 3
0 1 6 2
0 0 2 1
3 3 3 0
1 7 3 3
9 3 3 7
9 4 8 3
9 4 8 4
6 2 6 4
6 2 4 2
2 0 2 2
3 3 1 0
3 6 8 3
3 1 1 6
8 2 8 1
8 6 3 2
6 6 5 6
4 3 1 6
2 0 2 3
1 2 1 0
8 9 3 2
1 2 3 9
8 5 7 2
3 6 4 5
5 2 2 6
1 1 5 2
2 0 3 1
1 3 1 0
3 3 1 3
3 3 3 3
7 6 2 3
4 5 7 6
2 8 7 5
5 2 9 8
3 0 1 2
1 2 2 0
1 7 5 2
3 9 7 7
2 9 1 9
7 3 4 9
7 8 6 3
9 2 5 8
1 0 2 2
2 3 3 0
5 3 4 3
7 1 9 3
1 6 8 1
4 9 8 6
6 8 4 9
5 3 2 8
2 0 3 3
3 3 0 0
4 2 0 3
9 3 0 2
8 3 0 3
8 1 0 3
4 3 0 1
2 1 0 3
3 0 0 1

