c generated randomly
c 8x8 board with 9 colors
p tile 8 8
0 1 2 0
0 1 5 1
0 3 4 1
0 2 3 3
0 3 1 2
0 1 4 3
0 1 1 1
0 0 2 1
2 3 2 0
5 2 7 3
4 4 4 2
3 2 6 4
1 8 5 2
4 2 4 8
1 2 5 2
2 0 1 2
2 1 3 0
7 9 5 1
4 3 5 9
6 3 5 3
5 2 1 3
4 4 7 2
5 2 4 4
1 0 1 2
3 1 3 0
5 3 6 1
5 5 3 3
5 9 5 5
1 7 4 9
7 8 7 7
4 3 2 8
1 0 1 3
3 3 2 0
6 9 7 3
3 7 2 9
5 7 3 7
4 1 5 7
7 3 8 1
2 1 2 3
1 0 2 1
2 2 3 0
7 7 6 2
2 1 6 7
3 5 8 1
5 6 4 5
8 2 2 6
2 2 7 2
2 0 2 2
3 1 1 0
6 7 8 1
6 3 7 7
8 1 2 3
4 9 8 1
2 5 9 9
7 3 8 5
2 0 1 3
1 3 0 0
8 2 0 3
7 1 0 2
2 3 0 1
8 3 0 3
9 1 0 3
8 3 0 1
1 0 0 3

