c generated randomly
c 8x8 board with 9 colors
p tile 8 8
0 1 3 0
0 3 4 1
0 3 9 3
0 3 4 3
0 1 9 3
0 3 6 1
0 1 7 3
0 0 3 1
3 3 3 0
4 6 3 3
9 9 8 6
4 4 9 9
9 1 1 4
6 2 5 1
7 2 2 2
3 0 2 2
3 1 2 0
3 9 1 1
8 3 3 9
9 6 1 3
1 8 3 6
5 4 7 8
2 2 4 4
2 0 1 2
2 1 3 0
1 2 4 1
3 4 8 2
1 8 1 4
3 8 6 8
7 6 1 8
4 1 2 6
1 0 3 1
3 2 1 0
4 7 4 2
8 9 2 7
1 7 1 9
6 5 9 7
1 5 5 5
2 3 5 5
3 0 2 3
1 2 3 0
4 3 8 2
2 9 3 3
1 1 1 9
9 6 6 1
5 4 1 6
5 2 1 4
2 0 2 2
3 1 3 0
8 7 2 1
3 8 2 7
1 9 7 8
6 9 9 9
1 5 5 9
1 1 3 5
2 0 2 1
3 3 0 0
2 3 0 3
2 2 0 3
7 1 0 2
9 2 0 1
5 1 0 2
3 3 0 1
2 0 0 3

