c generated randomly
c 8x8 board with 9 colors
p tile 8 8
0 1 3 0
0 1 6 1
0 1 2 1
0 2 6 1
0 1 1 2
0 1 4 1
0 3 3 1
0 0 3 3
3 2 2 0
6 3 5 2
2 8 7 3
6 2 9 8
1 5 4 2
4 2 5 5
3 3 8 2
3 0 3 3
2 2 1 0
5 7 2 2
7 7 7 7
9 8 4 7
4 6 7 8
5 5 2 6
8 2 4 5
3 0 1 2
1 3 2 0
2 6 8 3
7 7 8 6
4 5 1 7
7 3 2 5
2 2 6 3
4 1 9 2
1 0 1 1
2 3 1 0
8 8 7 3
8 3 8 8
1 2 6 3
2 2 9 2
6 1 4 2
9 2 6 1
1 0 3 2
1 3 1 0
7 1 3 3
8 2 9 1
6 1 1 2
9 5 3 1
4 9 8 5
6 2 7 9
3 0 2 2
1 2 2 0
3 1 3 2
9 8 9 1
1 9 4 8
3 2 1 9
8 9 1 2
7 2 1 9
2 0 2 2
2 2 0 0
3 3 0 2
9 1 0 3
4 3 0 1
1 2 0 3
1 1 0 2
1 3 0 1
2 0 0 3

