c generated randomly
c 8x8 board with 9 colors
p tile 8 8
0 3 2 0
0 1 2 3
0 3 1 1
0 3 7 3
0 1 8 3
0 2 3 1
0 1 7 2
0 0 2 1
2 3 2 0
2 1 6 3
1 5 3 1
7 1 8 5
8 2 1 1
3 5 5 2
7 3 3 5
2 0 1 3
2 2 3 0
6 7 5 2
3 3 6 7
8 9 9 3
1 3 5 9
5 3 4 3
3 1 4 3
1 0 1 1
3 3 3 0
5 5 6 3
6 2 5 5
9 2 8 2
5 7 6 2
4 3 4 7
4 3 3 3
1 0 3 3
3 2 2 0
6 3 3 2
5 7 7 3
8 3 9 7
6 9 8 3
4 2 2 9
3 1 3 2
3 0 3 1
2 1 2 0
3 2 4 1
7 9 2 2
9 5 3 9
8 1 4 5
2 2 8 1
3 1 1 2
3 0 1 1
2 1 1 0
4 6 6 1
2 7 9 6
3 9 2 7
4 8 5 9
8 8 5 8
1 2 3 8
1 0 3 2
1 1 0 0
6 3 0 1
9 1 0 3
2 2 0 1
5 3 0 2
5 1 0 3
3 3 0 1
3 0 0 3

