c generated randomly
c 8x8 board with 9 colors
p tile 8 8
0 1 2 0
0 1 5 1
0 1 8 1
0 3 8 1
0 3 2 3
0 1 7 3
0 1 6 1
0 0 2 1
2 1 1 0
5 6 9 1
8 2 1 6
8 6 3 2
2 7 9 6
7 2 4 7
6 2 6 2
2 0 3 2
1 2 3 0
9 6 6 2
1 6 8 6
3 3 7 6
9 8 5 3
4 6 7 8
6 2 7 6
3 0 2 2
3 3 3 0
6 2 4 3
8 5 3 2
7 8 1 5
5 8 1 8
7 6 3 8
7 2 7 6
2 0 2 2
3 1 1 0
4 5 4 1
3 8 6 5
1 3 7 8
1 6 7 3
3 7 5 6
7 2 7 7
2 0 1 2
1 3 2 0
4 6 9 3
6 9 1 6
7 6 3 9
7 5 5 6
5 8 5 5
7 3 3 8
1 0 3 3
2 1 3 0
9 8 6 1
1 1 1 8
3 8 5 1
5 8 9 8
5 2 4 8
3 3 4 2
3 0 1 3
3 1 0 0
6 3 0 1
1 3 0 3
5 3 0 3
9 3 0 3
4 1 0 3
4 1 0 1
1 0 0 1

