c generated randomly
c 8x8 board with 9 colors
p tile 8 8
0 1 1 0
0 3 2 1
0 1 3 3
0 1 4 1
0 2 9 1
0 3 5 2
0 1 5 3
0 0 3 1
1 1 3 0
2 7 6 1
3 8 6 7
4 1 8 8
9 4 5 1
5 3 5 4
5 1 6 3
3 0 2 1
3 3 3 0
6 3 2 3
6 8 1 3
8 3 3 8
5 1 8 3
5 5 8 1
6 3 9 5
2 0 1 3
3 3 2 0
2 3 4 3
1 9 2 3
3 5 3 9
8 4 6 5
8 2 3 4
9 1 8 2
1 0 1 1
2 2 1 0
4 8 6 2
2 3 1 8
3 1 9 3
6 8 6 1
3 1 1 8
8 1 9 1
1 0 2 1
1 2 2 0
6 4 5 2
1 2 2 4
9 7 7 2
6 7 8 7
1 7 3 7
9 1 9 7
2 0 1 1
2 1 2 0
5 7 4 1
2 6 2 7
7 2 3 6
8 2 9 2
3 4 4 2
9 1 9 4
1 0 3 1
2 2 0 0
4 2 0 2
2 3 0 2
3 1 0 3
9 1 0 1
4 3 0 1
9 2 0 3
3 0 0 2

