c generated randomly
c 8x8 board with 9 colors
p tile 8 8
0 2 1 0
0 2 8 2
0 1 6 2
0 1 8 1
0 2 8 1
0 2 9 2
0 3 2 2
0 0 3 3
1 3 3 0
8 7 6 3
6 6 8 7
8 2 4 6
8 4 7 2
9 7 9 4
2 2 3 7
3 0 1 2
3 1 2 0
6 5 6 1
8 6 8 5
4 3 2 6
7 7 6 3
9 9 5 7
3 3 6 9
1 0 1 3
2 1 1 0
6 9 2 1
8 1 9 9
2 7 4 1
6 6 2 7
5 9 8 6
6 1 7 9
1 0 3 1
1 2 2 0
2 1 5 2
9 8 3 1
4 2 7 8
2 6 4 2
8 2 9 6
7 2 3 2
3 0 3 2
2 2 3 0
5 3 6 2
3 7 2 3
7 6 4 7
4 4 8 6
9 8 8 4
3 1 5 8
3 0 1 1
3 3 3 0
6 6 1 3
2 8 6 6
4 8 9 8
8 6 5 8
8 1 6 6
5 1 6 1
1 0 1 1
3 2 0 0
1 3 0 2
6 2 0 3
9 1 0 2
5 2 0 1
6 2 0 2
6 3 0 2
1 0 0 3

