c generated randomly
c 8x8 board with 9 colors
p tile 8 8
0 1 1 0
0 2 2 1
0 2 7 2
0 3 5 2
0 1 1 3
0 2 5 1
0 1 7 2
0 0 3 1
1 3 1 0
2 5 3 3
7 3 1 5
5 3 6 3
1 2 2 3
5 8 6 2
7 3 3 8
3 0 3 3
1 1 2 0
3 7 8 1
1 2 6 7
6 1 7 2
2 2 5 1
6 7 6 2
3 1 8 7
3 0 2 1
2 2 3 0
8 6 9 2
6 7 7 6
7 9 5 7
5 7 4 9
6 1 2 7
8 1 2 1
2 0 3 1
3 2 2 0
9 6 3 2
7 8 3 6
5 8 2 8
4 8 5 8
2 2 9 8
2 2 2 2
3 0 1 2
2 3 1 0
3 1 4 3
3 2 2 1
2 5 3 2
5 3 2 5
9 5 5 3
2 3 5 5
1 0 3 3
1 3 2 0
4 3 9 3
2 6 5 3
3 8 7 6
2 5 3 8
5 7 6 5
5 1 9 7
3 0 3 1
2 2 0 0
9 1 0 2
5 2 0 1
7 3 0 2
3 2 0 3
6 1 0 2
9 3 0 1
3 0 0 3

