c generated randomly
c 8x8 board with 9 colors
p tile 8 8
0 2 1 0
0 1 5 2
0 2 9 1
0 3 7 2
0 1 5 3
0 3 8 1
0 3 5 3
0 0 1 3
1 3 2 0
5 3 3 3
9 3 4 3
7 2 6 3
5 6 1 2
8 5 2 6
5 2 5 5
1 0 2 2
2 3 2 0
3 2 4 3
4 7 8 2
6 6 4 7
1 7 4 6
2 6 4 7
5 1 2 6
2 0 1 1
2 1 3 0
4 4 7 1
8 6 8 4
4 2 9 6
4 6 2 2
4 8 4 6
2 3 9 8
1 0 2 3
3 1 1 0
7 3 4 1
8 3 3 3
9 2 2 3
2 7 5 2
4 7 2 7
9 2 1 7
2 0 2 2
1 1 3 0
4 6 8 1
3 6 7 6
2 6 3 6
5 7 9 6
2 8 5 7
1 3 4 8
2 0 3 3
3 2 2 0
8 6 9 2
7 5 2 6
3 4 2 5
9 9 1 4
5 4 9 9
4 3 7 4
3 0 1 3
2 2 0 0
9 2 0 2
2 3 0 2
2 1 0 3
1 1 0 1
9 2 0 1
7 1 0 2
1 0 0 1

