c generated randomly
c 8x8 board with 9 colors
p tile 8 8
0 3 2 0
0 2 9 3
0 1 5 2
0 2 1 1
0 2 4 2
0 3 6 2
0 2 6 3
0 0 1 2
2 3 2 0
9 9 3 3
5 5 9 9
1 8 4 5
4 6 5 8
6 9 5 6
6 3 4 9
1 0 2 3
2 1 3 0
3 1 3 1
9 1 7 1
4 4 3 1
5 4 6 4
5 6 2 4
4 2 6 6
2 0 2 2
3 3 3 0
3 1 9 3
7 2 8 1
3 5 3 2
6 7 3 5
2 7 6 7
6 2 1 7
2 0 1 2
3 2 2 0
9 2 5 2
8 2 4 2
3 5 6 2
3 2 1 5
6 9 6 2
1 2 6 9
1 0 1 2
2 2 1 0
5 2 7 2
4 5 8 2
6 8 8 5
1 3 7 8
6 4 7 3
6 3 6 4
1 0 1 3
1 1 1 0
7 3 1 1
8 3 5 3
8 9 5 3
7 6 7 9
7 3 9 6
6 2 3 3
1 0 3 2
1 1 0 0
1 3 0 1
5 2 0 3
5 2 0 2
7 2 0 2
9 1 0 2
3 3 0 1
3 0 0 3

