c generated randomly
c 8x8 board with 9 colors
p tile 8 8
0 3 3 0
0 2 9 3
0 1 3 2
0 2 6 1
0 1 6 2
0 2 8 1
0 2 6 2
0 0 2 2
3 2 2 0
9 5 8 2
3 2 4 5
6 2 5 2
6 3 1 2
8 4 9 3
6 1 8 4
2 0 3 1
2 2 2 0
8 3 6 2
4 1 2 3
5 2 1 1
1 6 2 2
9 7 6 6
8 2 1 7
3 0 2 2
2 1 1 0
6 3 3 1
2 8 7 3
1 6 8 8
2 3 4 6
6 3 8 3
1 1 7 3
2 0 2 1
1 2 1 0
3 2 3 2
7 3 6 2
8 5 8 3
4 7 9 5
8 4 3 7
7 3 7 4
2 0 3 3
1 3 1 0
3 6 5 3
6 3 6 6
8 2 5 3
9 1 5 2
3 1 5 1
7 3 8 1
3 0 3 3
1 1 3 0
5 3 7 1
6 8 4 3
5 2 4 8
5 5 2 2
5 8 9 5
8 3 6 8
3 0 2 3
3 2 0 0
7 3 0 2
4 2 0 3
4 2 0 2
2 1 0 2
9 1 0 1
6 1 0 1
2 0 0 1

