c generated randomly
c 8x8 board with 9 colors
p tile 8 8
0 2 2 0
0 3 9 2
0 2 7 3
0 3 4 2
0 3 4 3
0 1 5 3
0 1 7 1
0 0 3 1
2 3 2 0
9 2 3 3
7 8 2 2
4 6 3 8
4 4 7 6
5 1 9 4
7 3 2 1
3 0 3 3
2 3 3 0
3 9 9 3
2 5 1 9
3 3 4 5
7 9 5 3
9 3 2 9
2 2 3 3
3 0 1 2
3 1 1 0
9 3 9 1
1 9 4 3
4 3 2 9
5 6 5 3
2 8 3 6
3 3 6 8
1 0 3 3
1 1 1 0
9 8 6 1
4 8 1 8
2 5 2 8
5 1 5 5
3 9 3 1
6 1 7 9
3 0 1 1
1 2 2 0
6 2 2 2
1 7 6 2
2 7 3 7
5 3 9 7
3 8 8 3
7 2 2 8
1 0 3 2
2 1 3 0
2 5 4 1
6 6 8 5
3 3 1 6
9 1 3 3
8 4 3 1
2 3 4 4
3 0 1 3
3 2 0 0
4 2 0 2
8 3 0 2
1 3 0 3
3 2 0 3
3 1 0 2
4 1 0 1
1 0 0 1

