c generated randomly
c 8x8 board with 9 colors
p tile 8 8
0 3 1 0
0 3 6 3
0 3 4 3
0 1 8 3
0 1 7 1
0 1 4 1
0 3 7 1
0 0 1 3
1 2 2 0
6 5 2 2
4 9 8 5
8 5 5 9
7 1 6 5
4 6 2 1
7 3 4 6
1 0 1 3
2 1 3 0
2 2 8 1
8 8 2 2
5 9 4 8
6 5 8 9
2 6 5 5
4 2 9 6
1 0 1 2
3 2 2 0
8 2 7 2
2 2 6 2
4 2 5 2
8 1 4 2
5 5 7 1
9 3 5 5
1 0 2 3
2 2 3 0
7 7 9 2
6 5 2 7
5 8 9 5
4 5 7 8
7 8 5 5
5 3 8 8
2 0 1 3
3 2 1 0
9 1 6 2
2 4 6 1
9 8 9 4
7 3 1 8
5 4 3 3
8 1 4 4
1 0 1 1
1 1 2 0
6 6 7 1
6 9 9 6
9 9 6 9
1 6 9 9
3 2 3 6
4 1 3 2
1 0 3 1
2 3 0 0
7 3 0 3
9 1 0 3
6 1 0 1
9 1 0 1
3 3 0 1
3 3 0 3
3 0 0 3

