c generated randomly
c 8x8 board with 9 colors
p tile 8 8
0 1 1 0
0 3 2 1
0 3 9 3
0 1 4 3
0 1 3 1
0 1 7 1
0 1 9 1
0 0 3 1
1 2 1 0
2 1 7 2
9 5 5 1
4 8 2 5
3 3 5 8
7 1 1 3
9 3 1 1
3 0 2 3
1 1 1 0
7 3 5 1
5 6 2 3
2 4 2 6
5 5 7 4
1 8 4 5
1 3 7 8
2 0 3 3
1 1 3 0
5 6 3 1
2 8 6 6
2 8 6 8
7 8 4 8
4 2 5 8
7 2 3 2
3 0 3 2
3 1 2 0
3 1 3 1
6 4 9 1
6 3 9 4
4 8 2 3
5 7 4 8
3 3 9 7
3 0 1 3
2 2 1 0
3 9 6 2
9 6 8 9
9 6 8 6
2 8 8 6
4 3 4 8
9 3 1 3
1 0 2 3
1 2 3 0
6 7 6 2
8 4 2 7
8 8 3 4
8 7 1 8
4 7 8 7
1 3 7 7
2 0 2 3
3 3 0 0
6 2 0 3
2 3 0 2
3 3 0 3
1 3 0 3
8 2 0 3
7 1 0 2
2 0 0 1

