c generated randomly
c 8x8 board with 9 colors
p tile 8 8
0 1 2 0
0 3 1 1
0 1 9 3
0 1 6 1
0 2 3 1
0 1 9 2
0 2 5 1
0 0 3 2
2 2 3 0
1 5 4 2
9 5 2 5
6 9 5 5
3 5 5 9
9 7 4 5
5 2 1 7
3 0 3 2
3 3 2 0
4 5 6 3
2 1 9 5
5 4 5 1
5 6 1 4
4 1 8 6
1 3 9 1
3 0 2 3
2 2 1 0
6 4 7 2
9 6 6 4
5 6 9 6
1 4 3 6
8 9 7 4
9 2 5 9
2 0 2 2
1 1 3 0
7 1 3 1
6 2 8 1
9 5 8 2
3 1 2 5
7 7 5 1
5 1 1 7
2 0 2 1
3 3 1 0
3 5 6 3
8 9 7 5
8 2 7 9
2 3 9 2
5 5 7 3
1 1 3 5
2 0 3 1
1 3 2 0
6 5 7 3
7 4 2 5
7 5 3 4
9 6 2 5
7 7 7 6
3 3 5 7
3 0 1 3
2 2 0 0
7 1 0 2
2 3 0 1
3 3 0 3
2 2 0 3
7 3 0 2
5 1 0 3
1 0 0 1

