c generated randomly
c 8x8 board with 9 colors
p tile 8 8
0 3 2 0
0 1 8 3
0 3 7 1
0 1 3 3
0 2 7 1
0 1 3 2
0 1 9 1
0 0 2 1
2 2 1 0
8 7 1 2
7 8 4 7
3 8 3 8
7 1 4 8
3 9 7 1
9 2 4 9
2 0 1 2
1 1 3 0
1 6 4 1
4 6 4 6
3 9 2 6
4 5 4 9
7 8 3 5
4 3 9 8
1 0 1 3
3 2 2 0
4 3 4 2
4 3 9 3
2 9 1 3
4 8 1 9
3 3 5 8
9 2 4 3
1 0 3 2
2 2 2 0
4 9 6 2
9 8 2 9
1 4 4 8
1 3 7 4
5 1 6 3
4 3 3 1
3 0 3 3
2 1 3 0
6 5 7 1
2 5 6 5
4 6 8 5
7 6 2 6
6 2 3 6
3 1 3 2
3 0 3 1
3 3 2 0
7 8 5 3
6 7 6 8
8 6 2 7
2 1 5 6
3 2 7 1
3 2 1 2
3 0 2 2
2 2 0 0
5 3 0 2
6 1 0 3
2 1 0 1
5 1 0 1
7 3 0 1
1 1 0 3
2 0 0 1

