c generated randomly
c 8x8 board with 9 colors
p tile 8 8
0 3 3 0
0 3 9 3
0 2 9 3
0 2 5 2
0 3 3 2
0 2 5 3
0 2 1 2
0 0 3 2
3 3 3 0
9 7 8 3
9 2 7 7
5 5 6 2
3 9 2 5
5 1 4 9
1 3 2 1
3 0 1 3
3 2 3 0
8 7 7 2
7 9 7 7
6 6 6 9
2 1 5 6
4 7 8 1
2 3 8 7
1 0 1 3
3 1 3 0
7 3 4 1
7 7 8 3
6 4 6 7
5 1 3 4
8 9 6 1
8 3 1 9
1 0 3 3
3 1 1 0
4 1 8 1
8 8 8 1
6 2 4 8
3 2 9 2
6 6 7 2
1 1 6 6
3 0 2 1
1 1 2 0
8 5 3 1
8 3 1 5
4 8 7 3
9 6 2 8
7 3 3 6
6 1 1 3
2 0 3 1
2 2 1 0
3 4 5 2
1 2 6 4
7 3 2 2
2 8 8 3
3 1 8 8
1 1 9 1
3 0 1 1
1 3 0 0
5 1 0 3
6 1 0 1
2 3 0 1
8 3 0 3
8 1 0 3
9 2 0 1
1 0 0 2

