c generated randomly
c 8x8 board with 9 colors
p tile 8 8
0 2 3 0
0 1 5 2
0 3 6 1
0 2 9 3
0 3 1 2
0 2 5 3
0 1 2 2
0 0 1 1
3 2 1 0
5 4 2 2
6 2 3 4
9 8 2 2
1 2 3 8
5 8 8 2
2 1 3 8
1 0 3 1
1 3 2 0
2 7 4 3
3 4 9 7
2 2 9 4
3 7 7 2
8 7 9 7
3 2 7 7
3 0 1 2
2 2 3 0
4 1 6 2
9 7 8 1
9 1 9 7
7 8 1 1
9 2 2 8
7 1 5 2
1 0 2 1
3 2 2 0
6 4 2 2
8 7 3 4
9 6 3 7
1 4 5 6
2 8 4 4
5 1 3 8
2 0 2 1
2 3 1 0
2 6 3 3
3 6 7 6
3 5 9 6
5 2 8 5
4 4 5 2
3 3 1 4
2 0 2 3
1 1 3 0
3 9 4 1
7 2 2 9
9 5 8 2
8 7 3 5
5 1 6 7
1 1 5 1
2 0 1 1
3 3 0 0
4 2 0 3
2 2 0 2
8 1 0 2
3 3 0 1
6 3 0 3
5 3 0 3
1 0 0 3

