c generated randomly
c 8x8 board with 9 colors
p tile 8 8
0 2 3 0
0 3 8 2
0 1 2 3
0 1 3 1
0 3 8 1
0 3 8 3
0 3 2 3
0 0 1 3
3 3 1 0
8 1 3 3
2 3 3 1
3 1 4 3
8 9 2 1
8 5 6 9
2 3 6 5
1 0 2 3
1 2 1 0
3 2 4 2
3 6 3 2
4 8 5 6
2 2 3 8
6 6 8 2
6 2 4 6
2 0 3 2
1 1 1 0
4 7 1 1
3 6 1 7
5 1 3 6
3 8 4 1
8 4 2 8
4 3 6 4
3 0 3 3
1 1 2 0
1 3 9 1
1 8 3 3
3 2 5 8
4 2 8 2
2 4 3 2
6 3 5 4
3 0 1 3
2 2 2 0
9 5 7 2
3 7 3 5
5 3 7 7
8 5 4 3
3 8 7 5
5 1 6 8
1 0 2 1
2 3 3 0
7 6 2 3
3 1 8 6
7 4 6 1
4 5 7 4
7 6 8 5
6 3 4 6
2 0 3 3
3 2 0 0
2 1 0 2
8 2 0 1
6 2 0 2
7 1 0 2
8 3 0 1
4 3 0 3
3 0 0 3

