c generated randomly
c 8x8 board with 9 colors
p tile 8 8
0 1 1 0
0 1 6 1
0 1 7 1
0 2 6 1
0 3 2 2
0 2 1 3
0 3 5 2
0 0 1 3
1 2 2 0
6 2 1 2
7 2 8 2
6 1 4 2
2 4 4 1
1 6 5 4
5 1 7 6
1 0 1 1
2 1 2 0
1 5 1 1
8 7 9 5
4 4 1 7
4 4 1 4
5 2 1 4
7 3 4 2
1 0 2 3
2 2 2 0
1 2 1 2
9 2 7 2
1 7 9 2
1 3 2 7
1 5 8 3
4 1 5 5
2 0 3 1
2 2 3 0
1 7 1 2
7 1 4 7
9 2 1 1
2 6 5 2
8 8 4 6
5 3 8 8
3 0 3 3
3 3 2 0
1 3 1 3
4 2 6 3
1 9 3 2
5 6 3 9
4 6 3 6
8 1 2 6
3 0 1 1
2 3 2 0
1 1 4 3
6 4 4 1
3 9 3 4
3 2 4 9
3 6 3 2
2 1 8 6
1 0 3 1
2 2 0 0
4 3 0 2
4 3 0 3
3 1 0 3
4 2 0 1
3 3 0 2
8 3 0 3
3 0 0 3

