c generated randomly
c 8x8 board with 9 colors
p tile 8 8
0 2 2 0
0 3 5 2
0 2 9 3
0 3 2 2
0 3 4 3
0 3 1 3
0 3 2 3
0 0 3 3
2 2 2 0
5 6 1 2
9 9 1 6
2 2 9 9
4 3 6 2
1 3 6 3
2 1 9 3
3 0 2 1
2 3 2 0
1 5 7 3
1 9 5 5
9 2 1 9
6 3 5 2
6 6 2 3
9 3 3 6
2 0 1 3
2 2 1 0
7 7 1 2
5 2 6 7
1 5 7 2
5 4 5 5
2 9 8 4
3 1 9 9
1 0 2 1
1 2 1 0
1 4 9 2
6 6 9 4
7 6 8 6
5 8 8 6
8 8 2 8
9 1 6 8
2 0 2 1
1 1 1 0
9 4 3 1
9 6 1 4
8 5 2 6
8 4 5 5
2 6 7 4
6 1 2 6
2 0 3 1
1 2 3 0
3 8 9 2
1 9 7 8
2 9 2 9
5 3 5 9
7 7 7 3
2 1 7 7
3 0 1 1
3 1 0 0
9 3 0 1
7 3 0 3
2 1 0 3
5 1 0 1
7 2 0 1
7 2 0 2
1 0 0 2

