c generated randomly
c 8x8 board with 9 colors
p tile 8 8
0 3 1 0
0 3 4 3
0 3 3 3
0 2 1 3
0 3 4 2
0 2 4 3
0 3 2 2
0 0 1 3
1 3 2 0
4 3 4 3
3 4 9 3
1 8 1 4
4 1 2 8
4 5 1 1
2 3 5 5
1 0 2 3
2 2 3 0
4 5 7 2
9 2 6 5
1 8 3 2
2 2 4 8
1 8 4 2
5 1 9 8
2 0 2 1
3 1 2 0
7 5 1 1
6 9 1 5
3 9 3 9
4 3 4 9
4 8 8 3
9 1 7 8
2 0 1 1
2 2 1 0
1 1 7 2
1 8 7 1
3 2 5 8
4 6 8 2
8 7 1 6
7 3 8 7
1 0 3 3
1 1 1 0
7 9 1 1
7 1 8 9
5 9 1 1
8 3 3 9
1 9 8 3
8 3 9 9
3 0 2 3
1 3 1 0
1 4 1 3
8 8 9 4
1 6 8 8
3 1 2 6
8 5 2 1
9 3 4 5
2 0 2 3
1 1 0 0
1 3 0 1
9 2 0 3
8 3 0 2
2 1 0 3
2 1 0 1
4 3 0 1
2 0 0 3

