c generated randomly
c 8x8 board with 9 colors
p tile 8 8
0 3 2 0
0 3 9 3
0 1 4 3
0 3 3 1
0 2 7 3
0 1 3 2
0 2 9 1
0 0 1 2
2 1 3 0
9 4 2 1
4 8 1 4
3 8 6 8
7 5 9 8
3 1 6 5
9 3 5 1
1 0 2 3
3 1 1 0
2 6 4 1
1 6 8 6
6 1 9 6
9 7 2 1
6 1 3 7
5 1 2 1
2 0 2 1
1 3 1 0
4 8 8 3
8 9 3 8
9 7 1 9
2 9 1 7
3 2 3 9
2 2 7 2
2 0 3 2
1 1 1 0
8 4 1 1
3 7 7 4
1 2 2 7
1 7 6 2
3 6 2 7
7 3 7 6
3 0 3 3
1 3 3 0
1 1 8 3
7 4 8 1
2 7 3 4
6 7 4 7
2 1 1 7
7 1 2 1
3 0 3 1
3 2 3 0
8 1 8 2
8 6 9 1
3 2 9 6
4 9 8 2
1 8 7 9
2 2 1 8
3 0 2 2
3 3 0 0
8 3 0 3
9 2 0 3
9 3 0 2
8 2 0 3
7 1 0 2
1 2 0 1
2 0 0 2

