c generated randomly
c 8x8 board with 9 colors
p tile 8 8
0 2 3 0
0 1 4 2
0 3 3 1
0 3 5 3
0 1 4 3
0 3 6 1
0 3 1 3
0 0 3 3
3 3 2 0
4 6 7 3
3 8 8 6
5 3 9 8
4 2 8 3
6 7 5 2
1 1 7 7
3 0 1 1
2 1 2 0
7 5 3 1
8 3 3 5
9 1 7 3
8 6 2 1
5 8 7 6
7 1 1 8
1 0 1 1
2 1 1 0
3 5 4 1
3 8 7 5
7 1 7 8
2 7 4 1
7 5 5 7
1 2 1 5
1 0 2 2
1 3 3 0
4 6 6 3
7 7 3 6
7 4 4 7
4 6 3 4
5 4 8 6
1 3 1 4
2 0 1 3
3 2 3 0
6 2 6 2
3 7 6 2
4 4 8 7
3 6 3 4
8 6 4 6
1 1 7 6
1 0 3 1
3 3 3 0
6 8 6 3
6 4 5 8
8 9 7 4
3 2 8 9
4 9 9 2
7 2 6 9
3 0 1 2
3 2 0 0
6 1 0 2
5 2 0 1
7 2 0 2
8 2 0 2
9 2 0 2
6 2 0 2
1 0 0 2

