c generated randomly
c 8x8 board with 9 colors
p tile 8 8
0 3 2 0
0 3 4 3
0 2 7 3
0 2 9 2
0 1 1 2
0 3 6 1
0 3 7 3
0 0 3 3
2 1 2 0
4 8 3 1
7 6 1 8
9 4 8 6
1 2 2 4
6 4 7 2
7 3 3 4
3 0 2 3
2 2 2 0
3 1 6 2
1 9 4 1
8 6 5 9
2 6 4 6
7 7 5 6
3 3 2 7
2 0 2 3
2 3 1 0
6 1 4 3
4 5 9 1
5 6 3 5
4 2 3 6
5 2 8 2
2 1 5 2
2 0 3 1
1 3 1 0
4 6 5 3
9 9 6 6
3 2 2 9
3 9 8 2
8 8 4 9
5 1 3 8
3 0 3 1
1 1 3 0
5 8 3 1
6 3 6 8
2 2 7 3
8 9 8 2
4 8 1 9
3 2 7 8
3 0 1 2
3 2 1 0
3 1 3 2
6 5 1 1
7 9 3 5
8 3 6 9
1 6 8 3
7 1 8 6
1 0 1 1
1 3 0 0
3 2 0 3
1 1 0 2
3 2 0 1
6 1 0 2
8 3 0 1
8 3 0 3
1 0 0 3

