c generated randomly
c 8x8 board with 9 colors
p tile 8 8
0 3 3 0
0 1 9 3
0 2 2 1
0 1 6 2
0 2 6 1
0 1 9 2
0 1 5 1
0 0 1 1
3 2 1 0
9 7 7 2
2 3 4 7
6 5 9 3
6 7 4 5
9 4 3 7
5 3 3 4
1 0 3 3
1 3 2 0
7 7 6 3
4 8 7 7
9 5 7 8
4 7 1 5
3 2 3 7
3 1 6 2
3 0 3 1
2 2 2 0
6 2 5 2
7 6 9 2
7 5 6 6
1 7 1 5
3 2 1 7
6 3 6 2
3 0 3 3
2 3 1 0
5 3 1 3
9 7 6 3
6 6 9 7
1 4 8 6
1 8 8 4
6 2 3 8
3 0 3 2
1 3 3 0
1 6 9 3
6 5 7 6
9 6 4 5
8 9 4 6
8 2 7 9
3 3 3 2
3 0 2 3
3 1 2 0
9 5 6 1
7 9 8 5
4 7 8 9
4 1 8 7
7 8 5 1
3 3 4 8
2 0 2 3
2 1 0 0
6 3 0 1
8 1 0 3
8 2 0 1
8 2 0 2
5 1 0 2
4 1 0 1
2 0 0 1

