c generated randomly
c 8x8 board with 9 colors
p tile 8 8
0 1 1 0
0 3 9 1
0 3 3 3
0 2 4 3
0 3 9 2
0 2 7 3
0 1 7 2
0 0 2 1
1 2 1 0
9 7 7 2
3 2 5 7
4 6 3 2
9 5 5 6
7 6 9 5
7 3 2 6
2 0 3 3
1 1 2 0
7 4 1 1
5 9 7 4
3 8 2 9
5 2 3 8
9 4 5 2
2 2 3 4
3 0 2 2
2 1 3 0
1 8 5 1
7 5 3 8
2 8 9 5
3 7 5 8
5 4 7 7
3 1 8 4
2 0 3 1
3 2 3 0
5 9 5 2
3 7 2 9
9 8 1 7
5 3 8 8
7 1 2 3
8 1 3 1
3 0 3 1
3 3 1 0
5 6 1 3
2 9 4 6
1 3 9 9
8 3 8 3
2 3 8 3
3 2 9 3
3 0 1 2
1 3 3 0
1 1 2 3
4 8 1 1
9 8 1 8
8 8 5 8
8 7 2 8
9 3 5 7
1 0 2 3
3 3 0 0
2 1 0 3
1 1 0 1
1 3 0 1
5 2 0 3
2 2 0 2
5 3 0 2
2 0 0 3

