c generated randomly
c 8x8 board with 9 colors
p tile 8 8
0 3 3 0
0 3 3 3
0 3 8 3
0 1 5 3
0 3 6 1
0 2 2 3
0 3 7 2
0 0 2 3
3 1 2 0
3 7 5 1
8 5 8 7
5 3 2 5
6 2 5 3
2 7 8 2
7 3 1 7
2 0 2 3
2 1 2 0
5 3 5 1
8 1 5 3
2 5 6 1
5 7 5 5
8 8 2 7
1 3 5 8
2 0 1 3
2 1 1 0
5 6 7 1
5 4 1 6
6 7 7 4
5 6 5 7
2 2 6 6
5 3 2 2
1 0 3 3
1 3 1 0
7 2 3 3
1 5 5 2
7 6 4 5
5 4 5 6
6 3 6 4
2 2 9 3
3 0 1 2
1 1 3 0
3 3 3 1
5 8 2 3
4 2 9 8
5 9 5 2
6 5 7 9
9 2 7 5
1 0 1 2
3 1 3 0
3 9 3 1
2 6 5 9
9 3 7 6
5 5 4 3
7 9 7 5
7 3 4 9
1 0 2 3
3 2 0 0
3 3 0 2
5 3 0 3
7 3 0 3
4 1 0 3
7 1 0 1
4 1 0 1
2 0 0 1

