c generated randomly
c 8x8 board with 9 colors
p tile 8 8
0 3 1 0
0 1 6 3
0 2 5 1
0 3 9 2
0 1 4 3
0 2 2 1
0 1 3 2
0 0 1 1
1 2 3 0
6 6 7 2
5 7 7 6
9 5 9 7
4 6 5 5
2 5 2 6
3 3 7 5
1 0 3 3
3 1 3 0
7 9 6 1
7 5 5 9
9 4 5 5
5 7 2 4
2 9 2 7
7 1 1 9
3 0 1 1
3 3 2 0
6 1 3 3
5 7 2 1
5 6 3 7
2 8 9 6
2 7 2 8
1 1 5 7
1 0 1 1
2 1 2 0
3 6 2 1
2 8 6 6
3 4 9 8
9 9 5 4
2 9 3 9
5 1 1 9
1 0 3 1
2 2 2 0
2 5 7 2
6 9 9 5
9 2 3 9
5 7 3 2
3 3 6 7
1 3 3 3
3 0 2 3
2 1 1 0
7 7 2 1
9 9 5 7
3 9 1 9
3 5 2 9
6 2 7 5
3 3 8 2
2 0 2 3
1 3 0 0
2 1 0 3
5 3 0 1
1 2 0 3
2 3 0 2
7 3 0 3
8 1 0 3
2 0 0 1

