c generated randomly
c 8x8 board with 9 colors
p tile 8 8
0 2 1 0
0 1 2 2
0 2 5 1
0 3 8 2
0 1 2 3
0 3 5 1
0 2 7 3
0 0 1 2
1 3 3 0
2 4 8 3
5 1 2 4
8 6 1 1
2 7 8 6
5 3 4 7
7 1 4 3
1 0 2 1
3 1 2 0
8 1 5 1
2 5 9 1
1 8 5 5
8 8 1 8
4 1 6 8
4 2 4 1
2 0 2 2
2 1 2 0
5 5 1 1
9 6 6 5
5 1 1 6
1 3 3 1
6 6 7 3
4 3 1 6
2 0 2 3
2 3 3 0
1 8 8 3
6 1 4 8
1 5 1 1
3 6 7 5
7 2 2 6
1 3 8 2
2 0 3 3
3 2 1 0
8 9 2 2
4 7 4 9
1 6 6 7
7 9 8 6
2 7 8 9
8 3 8 7
3 0 3 3
1 1 1 0
2 6 6 1
4 2 3 6
6 5 5 2
8 5 2 5
8 1 6 5
8 2 1 1
3 0 3 2
1 1 0 0
6 1 0 1
3 1 0 1
5 3 0 1
2 2 0 3
6 3 0 2
1 1 0 3
3 0 0 1

