c generated randomly
c 8x8 board with 9 colors
p tile 8 8
0 2 3 0
0 1 7 2
0 3 2 1
0 3 6 3
0 2 7 3
0 2 9 2
0 1 3 2
0 0 3 1
3 3 1 0
7 2 6 3
2 6 1 2
6 9 2 6
7 5 2 9
9 9 3 5
3 2 7 9
3 0 3 2
1 3 1 0
6 3 1 3
1 9 2 3
2 4 8 9
2 9 3 4
3 9 3 9
7 1 2 9
3 0 2 1
1 1 3 0
1 3 1 1
2 9 4 3
8 5 2 9
3 9 4 5
3 6 2 9
2 2 3 6
2 0 2 2
3 1 3 0
1 9 2 1
4 5 6 9
2 1 1 5
4 2 5 1
2 1 5 2
3 3 2 1
2 0 3 3
3 1 1 0
2 6 3 1
6 1 7 6
1 8 5 1
5 6 9 8
5 2 4 6
2 3 4 2
3 0 3 3
1 2 2 0
3 9 7 2
7 7 6 9
5 8 6 7
9 9 7 8
4 2 9 9
4 2 5 2
3 0 1 2
2 1 0 0
7 3 0 1
6 2 0 3
6 2 0 2
7 1 0 2
9 1 0 1
5 1 0 1
1 0 0 1

