c generated randomly
c 8x8 board with 9 colors
p tile 8 8
0 3 1 0
0 2 8 3
0 3 7 2
0 2 3 3
0 3 5 2
0 3 1 3
0 2 9 3
0 0 2 2
1 2 2 0
8 4 3 2
7 5 4 4
3 8 7 5
5 8 4 8
1 8 6 8
9 2 2 8
2 0 3 2
2 2 2 0
3 8 6 2
4 2 8 8
7 3 7 2
4 9 4 3
6 7 2 9
2 1 2 7
3 0 1 1
2 1 2 0
6 2 4 1
8 9 9 2
7 2 5 9
4 1 4 2
2 8 6 1
2 2 1 8
1 0 2 2
2 1 1 0
4 6 4 1
9 2 2 6
5 6 6 2
4 4 6 6
6 6 6 4
1 3 5 6
2 0 3 3
1 1 2 0
4 4 7 1
2 5 2 4
6 1 6 5
6 4 8 1
6 6 2 4
5 3 5 6
3 0 1 3
2 3 2 0
7 4 2 3
2 2 9 4
6 8 9 2
8 2 6 8
2 9 1 2
5 1 6 9
1 0 1 1
2 3 0 0
2 3 0 3
9 1 0 3
9 3 0 1
6 2 0 3
1 3 0 2
6 1 0 3
1 0 0 1

