c generated randomly
c 8x8 board with 9 colors
p tile 8 8
0 3 1 0
0 1 8 3
0 1 9 1
0 2 9 1
0 1 2 2
0 3 8 1
0 2 7 3
0 0 1 2
1 2 1 0
8 6 7 2
9 3 9 6
9 7 4 3
2 3 9 7
8 1 3 3
7 3 4 1
1 0 2 3
1 3 3 0
7 9 3 3
9 6 5 9
4 9 2 6
9 3 8 9
3 2 8 3
4 3 1 2
2 0 1 3
3 1 1 0
3 2 5 1
5 1 9 2
2 4 6 1
8 8 2 4
8 3 9 8
1 1 7 3
1 0 2 1
1 2 3 0
5 8 2 2
9 9 4 8
6 4 9 9
2 1 7 4
9 1 6 1
7 3 5 1
2 0 2 3
3 3 2 0
2 1 5 3
4 2 3 1
9 5 4 2
7 2 2 5
6 9 6 2
5 1 5 9
2 0 1 1
2 2 2 0
5 8 6 2
3 3 5 8
4 9 9 3
2 3 6 9
6 3 8 3
5 2 6 3
1 0 3 2
2 1 0 0
6 2 0 1
5 1 0 2
9 2 0 1
6 1 0 2
8 1 0 1
6 1 0 1
3 0 0 1

