c generated randomly
c 8x8 board with 9 colors
p tile 8 8
0 3 2 0
0 2 1 3
0 2 5 2
0 1 3 2
0 1 5 1
0 3 2 1
0 2 4 3
0 0 2 2
2 2 1 0
1 7 2 2
5 3 7 7
3 2 1 3
5 3 7 2
2 7 2 3
4 2 3 7
2 0 3 2
1 1 3 0
2 3 4 1
7 2 1 3
1 7 7 2
7 3 4 7
2 5 4 3
3 2 5 5
3 0 3 2
3 1 2 0
4 6 8 1
1 1 5 6
7 3 8 1
4 3 3 3
4 2 5 3
5 3 9 2
3 0 2 3
2 3 2 0
8 9 1 3
5 7 6 9
8 3 3 7
3 7 1 3
5 9 2 7
9 3 6 9
2 0 3 3
2 1 1 0
1 6 8 1
6 5 2 6
3 8 3 5
1 9 2 8
2 1 2 9
6 1 7 1
3 0 3 1
1 1 1 0
8 8 9 1
2 4 6 8
3 2 4 4
2 5 8 2
2 6 8 5
7 3 6 6
3 0 3 3
1 1 0 0
9 1 0 1
6 1 0 1
4 2 0 1
8 1 0 2
8 3 0 1
6 3 0 3
3 0 0 3

