c generated randomly
c 8x8 board with 9 colors
p tile 8 8
0 1 2 0
0 3 3 1
0 1 5 3
0 2 9 1
0 3 5 2
0 3 4 3
0 1 4 3
0 0 3 1
2 2 2 0
3 4 3 2
5 7 2 4
9 1 7 7
5 9 3 1
4 7 6 9
4 1 7 7
3 0 3 1
2 1 3 0
3 1 8 1
2 3 6 1
7 3 3 3
3 7 9 3
6 6 1 7
7 3 3 6
3 0 3 3
3 2 2 0
8 1 3 2
6 7 2 1
3 4 6 7
9 5 9 4
1 5 8 5
3 1 1 5
3 0 1 1
2 3 2 0
3 5 9 3
2 8 1 5
6 2 6 8
9 8 2 2
8 9 7 8
1 3 7 9
1 0 2 3
2 2 1 0
9 8 1 2
1 1 7 8
6 6 1 1
2 3 7 6
7 3 4 3
7 3 6 3
2 0 3 3
1 1 2 0
1 3 9 1
7 3 1 3
1 3 4 3
7 7 2 3
4 7 9 7
6 2 9 7
3 0 3 2
2 2 0 0
9 2 0 2
1 1 0 2
4 1 0 1
2 1 0 1
9 1 0 1
9 2 0 1
3 0 0 2

