c generated randomly
c 8x8 board with 9 colors
p tile 8 8
0 1 1 0
0 1 4 1
0 3 4 1
0 2 6 3
0 3 6 2
0 1 4 3
0 3 6 1
0 0 2 3
1 2 1 0
4 4 1 2
4 8 7 4
6 9 6 8
6 3 1 9
4 6 7 3
6 2 7 6
2 0 2 2
1 3 1 0
1 9 3 3
7 2 7 9
6 4 7 2
1 9 4 4
7 4 2 9
7 1 7 4
2 0 2 1
1 2 2 0
3 7 1 2
7 1 9 7
7 3 1 1
4 6 3 3
2 4 5 6
7 3 3 4
2 0 3 3
2 2 3 0
1 5 6 2
9 6 1 5
1 7 8 6
3 3 6 7
5 6 2 3
3 3 5 6
3 0 2 3
3 1 3 0
6 6 8 1
1 1 5 6
8 5 6 1
6 8 4 5
2 3 3 8
5 3 8 3
2 0 1 3
3 2 2 0
8 3 8 2
5 2 3 3
6 7 2 2
4 4 9 7
3 5 9 4
8 2 1 5
1 0 3 2
2 1 0 0
8 3 0 1
3 1 0 3
2 3 0 1
9 2 0 3
9 3 0 2
1 1 0 3
3 0 0 1

