c generated randomly
c 8x8 board with 9 colors
p tile 8 8
0 1 3 0
0 1 5 1
0 2 4 1
0 3 3 2
0 2 5 3
0 3 9 2
0 3 9 3
0 0 3 3
3 2 1 0
5 2 1 2
4 9 4 2
3 9 3 9
5 5 6 9
9 1 1 5
9 3 5 1
3 0 3 3
1 1 1 0
1 2 8 1
4 7 7 2
3 6 9 7
6 1 6 6
1 7 2 1
5 1 3 7
3 0 3 1
1 3 2 0
8 3 5 3
7 4 3 3
9 7 3 4
6 4 1 7
2 3 1 4
3 3 1 3
3 0 1 3
2 2 3 0
5 1 7 2
3 4 4 1
3 4 9 4
1 8 8 4
1 3 7 8
1 3 6 3
1 0 2 3
3 1 2 0
7 1 8 1
4 2 8 1
9 1 1 2
8 2 3 1
7 5 5 2
6 1 3 5
2 0 1 1
2 1 1 0
8 1 6 1
8 6 4 1
1 1 5 6
3 2 6 1
5 6 3 2
3 3 5 6
1 0 1 3
1 2 0 0
6 1 0 2
4 2 0 1
5 2 0 2
6 2 0 2
3 2 0 2
5 1 0 2
1 0 0 1

