c generated randomly
c 8x8 board with 9 colors
p tile 8 8
0 2 3 0
0 2 6 2
0 3 1 2
0 1 6 3
0 2 3 1
0 2 5 2
0 3 6 2
0 0 1 3
3 1 1 0
6 7 4 1
1 8 9 7
6 4 9 8
3 2 7 4
5 2 9 2
6 3 9 2
1 0 1 3
1 3 2 0
4 1 1 3
9 9 4 1
9 6 1 9
7 8 6 6
9 5 5 8
9 1 3 5
1 0 2 1
2 3 3 0
1 5 2 3
4 1 1 5
1 3 2 1
6 6 5 3
5 1 4 6
3 2 2 1
2 0 1 2
3 2 1 0
2 3 2 2
1 1 4 3
2 2 6 1
5 9 6 2
4 2 6 9
2 3 1 2
1 0 3 3
1 2 3 0
2 1 7 2
4 2 8 1
6 2 8 2
6 6 4 2
6 1 7 6
1 3 7 1
3 0 3 3
3 1 3 0
7 8 5 1
8 4 8 8
8 5 6 4
4 4 5 5
7 6 5 4
7 1 9 6
3 0 2 1
3 1 0 0
5 1 0 1
8 3 0 1
6 1 0 3
5 2 0 1
5 1 0 2
9 2 0 1
2 0 0 2

