c generated randomly
c 8x8 board with 9 colors
p tile 8 8
0 2 2 0
0 3 7 2
0 3 9 3
0 1 1 3
0 2 9 1
0 3 4 2
0 1 5 3
0 0 3 1
2 2 1 0
7 7 7 2
9 1 2 7
1 1 7 1
9 8 9 1
4 2 8 8
5 3 3 2
3 0 1 3
1 1 1 0
7 8 8 1
2 1 8 8
7 1 5 1
9 9 6 1
8 7 1 9
3 3 7 7
1 0 3 3
1 2 3 0
8 1 2 2
8 9 2 1
5 2 4 9
6 4 8 2
1 9 6 4
7 1 8 9
3 0 2 1
3 2 3 0
2 5 2 2
2 3 3 5
4 6 6 3
8 8 5 6
6 7 8 8
8 3 3 7
2 0 1 3
3 3 3 0
2 7 3 3
3 4 7 7
6 8 5 4
5 1 3 8
8 7 9 1
3 2 2 7
1 0 1 2
3 2 2 0
3 7 2 2
7 2 4 7
5 8 9 2
3 9 4 8
9 2 1 9
2 2 8 2
1 0 3 2
2 1 0 0
2 2 0 1
4 2 0 2
9 3 0 2
4 3 0 3
1 2 0 3
8 2 0 2
3 0 0 2

