c generated randomly
c 8x8 board with 9 colors
p tile 8 8
0 2 2 0
0 1 2 2
0 3 4 1
0 1 7 3
0 2 4 1
0 3 1 2
0 3 8 3
0 0 1 3
2 3 1 0
2 8 2 3
4 1 4 8
7 4 1 1
4 9 9 4
1 2 1 9
8 1 7 2
1 0 3 1
1 2 3 0
2 1 5 2
4 5 1 1
1 4 8 5
9 8 8 4
1 7 4 8
7 3 9 7
3 0 1 3
3 1 3 0
5 2 1 1
1 5 4 2
8 6 6 5
8 8 1 6
4 2 9 8
9 2 2 2
1 0 3 2
3 2 2 0
1 4 3 2
4 5 3 4
6 5 5 5
1 5 6 5
9 1 7 5
2 1 3 1
3 0 1 1
2 1 1 0
3 7 6 1
3 5 5 7
5 7 6 5
6 9 3 7
7 7 5 9
3 3 8 7
1 0 1 3
1 2 1 0
6 1 6 2
5 9 9 1
6 8 6 9
3 6 5 8
5 2 2 6
8 2 4 2
1 0 2 2
1 1 0 0
6 3 0 1
9 2 0 3
6 1 0 2
5 3 0 1
2 3 0 3
4 3 0 3
2 0 0 3

