c generated randomly
c 8x8 board with 9 colors
p tile 8 8
0 1 1 0
0 2 8 1
0 3 9 2
0 2 6 3
0 3 5 2
0 3 7 3
0 1 9 3
0 0 3 1
1 3 1 0
8 9 2 3
9 2 3 9
6 9 5 2
5 3 9 9
7 9 1 3
9 2 2 9
3 0 1 2
1 2 1 0
2 2 7 2
3 3 2 2
5 5 7 3
9 3 8 5
1 4 8 3
2 1 4 4
1 0 1 1
1 3 3 0
7 9 8 3
2 3 7 9
7 2 1 3
8 3 4 2
8 8 9 3
4 2 2 8
1 0 2 2
3 2 2 0
8 3 7 2
7 2 2 3
1 2 1 2
4 4 9 2
9 7 7 4
2 1 8 7
2 0 1 1
2 1 3 0
7 5 8 1
2 1 3 5
1 6 4 1
9 3 7 6
7 9 4 3
8 3 2 9
1 0 3 3
3 3 3 0
8 7 7 3
3 6 4 7
4 6 8 6
7 4 5 6
4 4 7 4
2 2 4 4
3 0 2 2
3 2 0 0
7 3 0 2
4 1 0 3
8 1 0 1
5 1 0 1
7 3 0 1
4 2 0 3
2 0 0 2

