c generated randomly
c 8x8 board with 9 colors
p tile 8 8
0 1 3 0
0 1 8 1
0 2 4 1
0 3 6 2
0 1 9 3
0 3 9 1
0 1 2 3
0 0 3 1
3 1 3 0
8 4 1 1
4 8 1 4
6 7 6 8
9 8 4 7
9 4 9 8
2 3 6 4
3 0 2 3
3 2 2 0
1 6 8 2
1 7 7 6
6 4 1 7
4 5 6 4
9 6 4 5
6 3 8 6
2 0 3 3
2 3 2 0
8 4 2 3
7 3 9 4
1 4 4 3
6 8 1 4
4 3 7 8
8 1 9 3
3 0 1 1
2 3 1 0
2 4 9 3
9 9 3 4
4 9 1 9
1 8 6 9
7 2 7 8
9 2 2 2
1 0 3 2
1 2 1 0
9 2 5 2
3 8 6 2
1 9 5 8
6 7 8 9
7 5 2 7
2 3 7 5
3 0 1 3
1 2 2 0
5 8 5 2
6 4 1 8
5 4 1 4
8 5 9 4
2 1 5 5
7 1 3 1
1 0 1 1
2 3 0 0
5 1 0 3
1 2 0 1
1 2 0 2
9 2 0 2
5 1 0 2
3 1 0 1
1 0 0 1

