c generated randomly
c 8x8 board with 9 colors
p tile 8 8
0 2 1 0
0 3 2 2
0 2 9 3
0 1 6 2
0 1 5 1
0 2 1 1
0 3 9 2
0 0 2 3
1 3 2 0
2 3 5 3
9 7 7 3
6 2 8 7
5 9 4 2
1 1 6 9
9 2 7 1
2 0 1 2
2 3 2 0
5 8 5 3
7 4 4 8
8 7 3 4
4 5 1 7
6 7 7 5
7 2 4 7
1 0 3 2
2 3 1 0
5 7 2 3
4 9 6 7
3 2 5 9
1 5 6 2
7 7 4 5
4 2 3 7
3 0 1 2
1 1 1 0
2 1 1 1
6 2 5 1
5 9 9 2
6 2 4 9
4 8 2 2
3 3 4 8
1 0 1 3
1 1 3 0
1 1 1 1
5 6 4 1
9 5 1 6
4 7 7 5
2 2 1 7
4 1 9 2
1 0 3 1
3 1 3 0
1 6 5 1
4 8 4 6
1 4 8 8
7 7 9 4
1 3 3 7
9 3 8 3
3 0 2 3
3 1 0 0
5 2 0 1
4 1 0 2
8 3 0 1
9 3 0 3
3 2 0 3
8 3 0 2
2 0 0 3

