c generated randomly
c 8x8 board with 9 colors
p tile 8 8
0 2 3 0
0 1 8 2
0 1 9 1
0 2 9 1
0 3 1 2
0 1 4 3
0 3 4 1
0 0 1 3
3 2 2 0
8 5 2 2
9 2 5 5
9 5 7 2
1 4 1 5
4 3 5 4
4 2 3 3
1 0 2 2
2 2 2 0
2 5 6 2
5 6 1 5
7 1 7 6
1 4 1 1
5 3 4 4
3 3 7 3
2 0 1 3
2 1 1 0
6 6 3 1
1 4 9 6
7 4 6 4
1 7 5 4
4 5 7 7
7 3 5 5
1 0 3 3
1 2 3 0
3 4 6 2
9 6 9 4
6 5 7 6
5 7 5 5
7 7 4 7
5 2 6 7
3 0 3 2
3 1 3 0
6 6 1 1
9 9 4 6
7 3 4 9
5 1 4 3
4 6 6 1
6 3 2 6
3 0 1 3
3 3 3 0
1 1 6 3
4 5 6 1
4 7 7 5
4 7 9 7
6 8 2 7
2 3 7 8
1 0 1 3
3 2 0 0
6 3 0 2
6 2 0 3
7 3 0 2
9 2 0 3
2 3 0 2
7 1 0 3
1 0 0 1

