c generated randomly
c 8x8 board with 9 colors
p tile 8 8
0 3 1 0
0 2 3 3
0 2 6 2
0 3 7 2
0 1 2 3
0 2 3 1
0 2 9 2
0 0 1 2
1 2 2 0
3 1 1 2
6 2 3 1
7 6 5 2
2 8 6 6
3 6 7 8
9 1 3 6
1 0 1 1
2 2 3 0
1 8 4 2
3 8 5 8
5 6 4 8
6 1 9 6
7 8 9 1
3 1 4 8
1 0 3 1
3 2 1 0
4 7 2 2
5 9 7 7
4 1 5 9
9 4 1 1
9 1 6 4
4 2 9 1
3 0 3 2
1 1 2 0
2 3 2 1
7 6 3 3
5 6 4 6
1 6 9 6
6 2 6 6
9 3 7 2
3 0 3 3
2 2 2 0
2 8 5 2
3 4 8 8
4 9 1 4
9 3 6 9
6 3 1 3
7 3 2 3
3 0 1 3
2 1 2 0
5 9 7 1
8 2 7 9
1 1 7 2
6 2 4 1
1 5 9 2
2 2 6 5
1 0 2 2
2 2 0 0
7 2 0 2
7 1 0 2
7 2 0 1
4 1 0 2
9 2 0 1
6 3 0 2
2 0 0 3

