c generated randomly
c 8x8 board with 9 colors
p tile 8 8
0 2 3 0
0 3 5 2
0 2 5 3
0 2 6 2
0 1 3 2
0 1 2 1
0 1 8 1
0 0 2 1
3 2 2 0
5 6 3 2
5 7 5 6
6 3 6 7
3 1 6 3
2 7 2 1
8 1 3 7
2 0 1 1
2 1 3 0
3 5 6 1
5 7 1 5
6 2 5 7
6 3 5 2
2 1 5 3
3 1 5 1
1 0 1 1
3 1 3 0
6 1 4 1
1 5 2 1
5 3 4 5
5 5 9 3
5 6 8 5
5 1 5 6
1 0 3 1
3 2 1 0
4 5 2 2
2 4 4 5
4 2 7 4
9 8 3 2
8 6 4 8
5 2 2 6
3 0 2 2
1 2 3 0
2 2 6 2
4 6 5 2
7 9 9 6
3 6 8 9
4 8 4 6
2 2 6 8
2 0 2 2
3 3 1 0
6 8 5 3
5 5 7 8
9 5 3 5
8 9 3 5
4 7 4 9
6 3 8 7
2 0 3 3
1 3 0 0
5 3 0 3
7 1 0 3
3 3 0 1
3 3 0 3
4 3 0 3
8 3 0 3
3 0 0 3

