c generated randomly
c 8x8 board with 9 colors
p tile 8 8
0 3 3 0
0 1 8 3
0 3 9 1
0 1 1 3
0 3 7 1
0 3 3 3
0 3 6 3
0 0 1 3
3 3 2 0
8 3 3 3
9 4 2 3
1 3 5 4
7 9 3 3
3 6 9 9
6 2 4 6
1 0 1 2
2 3 1 0
3 1 7 3
2 8 4 1
5 8 2 8
3 1 1 8
9 8 2 1
4 2 1 8
1 0 2 2
1 1 1 0
7 1 3 1
4 7 7 1
2 3 6 7
1 9 7 3
2 7 9 9
1 1 1 7
2 0 2 1
1 3 3 0
3 4 6 3
7 4 9 4
6 4 2 4
7 6 9 4
9 3 6 6
1 2 5 3
2 0 1 2
3 3 1 0
6 6 1 3
9 1 4 6
2 6 5 1
9 9 4 6
6 3 9 9
5 1 4 3
1 0 2 1
1 1 2 0
1 3 2 1
4 2 5 3
5 4 3 2
4 9 9 4
9 3 5 9
4 3 4 3
2 0 2 3
2 3 0 0
2 2 0 3
5 1 0 2
3 1 0 1
9 1 0 1
5 1 0 1
4 1 0 1
2 0 0 1

