c generated randomly
c 8x8 board with 9 colors
p tile 8 8
0 2 1 0
0 1 7 2
0 1 9 1
0 3 6 1
0 2 5 3
0 2 1 2
0 3 7 2
0 0 3 3
1 1 3 0
7 7 9 1
9 6 3 7
6 1 7 6
5 7 4 1
1 6 9 7
7 1 5 6
3 0 2 1
3 3 2 0
9 3 8 3
3 5 5 3
7 9 5 5
4 4 1 9
9 6 3 4
5 1 4 6
2 0 1 1
2 3 1 0
8 8 2 3
5 3 3 8
5 3 5 3
1 2 6 3
3 1 2 2
4 2 7 1
1 0 2 2
1 3 1 0
2 4 5 3
3 6 1 4
5 7 9 6
6 2 5 7
2 7 4 2
7 1 1 7
2 0 3 1
1 3 2 0
5 6 1 3
1 9 9 6
9 7 6 9
5 9 4 7
4 2 8 9
1 3 1 2
3 0 2 3
2 1 1 0
1 6 7 1
9 3 1 6
6 3 5 3
4 1 2 3
8 5 8 1
1 2 4 5
2 0 1 2
1 3 0 0
7 3 0 3
1 3 0 3
5 3 0 3
2 2 0 3
8 3 0 2
4 1 0 3
1 0 0 1

